Record_ID,Department,Region,Month,Operational_Hours,Downtime_Hours,Maintenance_Cost_USD,Labor_Cost_USD,Material_Cost_USD,Energy_Cost_USD,Forecasted_Total_Cost_USD
REC000001,Paint,Fremont,2024-04,168.1,9,10440.69,1862.21,1404.45,3049.35,16194.556066582838
REC000002,Assembly,Shanghai,2023-02,164.1,5.9,15186.19,2066.89,1752.83,1910.22,23180.74545730277
REC000003,Body,Austin,2023-04,133.4,1.3,14066.41,2821.88,2925.21,2011.01,18938.985277985805
REC000004,Assembly,Shanghai,2024-09,152.2,3.7,15458.56,3192.2,5275.72,2774.97,30897.544471729652
REC000005,Assembly,Shanghai,2024-06,164.7,6.6,9826.71,6500.5,4698.55,1975.35,25090.059501748372
REC000006,Chassis,Austin,2024-05,177.1,4.7,10843.09,4596.17,2399.59,1719.04,16188.275334725718
REC000007,Body,Berlin,2023-10,159.9,4,13582.38,8046.83,1597.49,1819.71,26835.77729
REC000008,Body,Austin,2024-09,161,3.7,15394.45,4438.97,2558.91,1877.18,22137.719077532292
REC000009,Body,Berlin,2023-09,158.9,3.2,12665.51,4560.38,2829.51,1239.39,18711.604110152515
REC000010,Assembly,Austin,2024-03,146.9,5.5,6304.1,6989.26,3095.4,868.63,20250.308171303957
REC000011,Paint,Austin,2023-12,163.5,3.7,15558.33,1165.88,2367.79,1976.44,19185.712750116454
REC000012,Body,Austin,2024-09,144.8,7.7,15887.43,5164.05,2405.74,2253.58,22193.177846929913
REC000013,Logistics,Fremont,2023-09,159.1,3.3,10352.48,5816.06,3605.05,2594.24,20058.76026047991
REC000014,Assembly,Berlin,2024-02,160.9,2.4,14552.41,6672.92,2639.01,1273.51,21609.29290902757
REC000015,Chassis,Fremont,2024-01,160.5,5,13476.29,6341.75,2724.4,3039.3,22431.40478807642
REC000016,Paint,Austin,2023-06,147,0.9,9325.89,5393.34,3253.29,723.86,24038.690990964154
REC000017,Logistics,Shanghai,2024-07,152.9,0.2,14664.97,6943.51,3795.21,2533.7,28816.450586450992
REC000018,Logistics,Fremont,2023-04,166.9,6.2,11870.78,7051.64,3193.6,2023.81,21064.03984121876
REC000019,Chassis,Berlin,2024-08,160.7,5.1,7925.71,5974.62,3586.54,1887.33,22225.75640767002
REC000020,Paint,Austin,2024-05,153,0.8,14695.29,3482.38,4563.53,1255.88,21375.27809376027
REC000021,Assembly,Fremont,2024-07,149.3,5.2,18344.4,5227.71,2679.22,1878.03,26594.649838803012
REC000022,Battery,Shanghai,2023-03,168,4.4,5090.24,6231.85,3703.01,1791.71,16688.351741565388
REC000023,Paint,Fremont,2024-02,160.3,2,12917.45,4583.21,2154.48,2735.3,23831.66220809727
REC000024,Chassis,Berlin,2024-05,148.7,6.5,12799.06,6047.94,2995.32,1516.12,23831.05625
REC000025,Logistics,Fremont,2024-01,158.1,8,8537.53,4897.76,2480.22,1577.84,16826.433892823086
REC000026,Assembly,Shanghai,2023-09,151.9,8.8,15079.04,4147.75,3153.33,2291.77,26696.163190637148
REC000027,Paint,Shanghai,2023-01,163,5.7,8724.51,5224.53,3970.42,1762.91,21390.88727258687
REC000028,Battery,Berlin,2024-05,172.5,5,12253.33,2946.8,2123.8,1302.74,15400.006997833058
REC000029,Battery,Shanghai,2024-04,149.2,8.5,9754.37,5379.13,4173.4,704.77,21015.918830729515
REC000030,Body,Austin,2024-06,161.6,5.5,8922.57,3926.02,2793.96,3212.33,16607.23384
REC000031,Body,Shanghai,2023-02,161.4,4.3,13113.73,5867.01,3009.42,2145.95,22747.498224153784
REC000032,Chassis,Austin,2024-02,138.6,3.7,9864.88,3295.73,2275.92,3088.04,19607.221593525355
REC000033,Paint,Fremont,2024-10,168.3,6.1,15841.44,7873.09,1516.22,2161.69,27403.898901092896
REC000034,Paint,Austin,2024-11,181,1.7,12065.56,3465.32,2364.63,2668.19,21782.789039351796
REC000035,Logistics,Austin,2024-05,161.4,7.3,14580.75,6285.05,3644.36,3210.1,27091.856442477445
REC000036,Logistics,Fremont,2023-03,173.6,2.2,14394.92,4775.78,1938.85,2700,19469.99357739825
REC000037,Logistics,Shanghai,2023-02,147.5,3.3,15566.78,5781.13,3530.05,3124.21,23962.087497452107
REC000038,Body,Austin,2023-08,152.8,5.6,11127.96,6098.69,1804.73,3032.83,21833.238032152018
REC000039,Paint,Shanghai,2023-02,160.7,8.5,11634.7,4700.29,1600.27,1390.65,20963.501214148313
REC000040,Paint,Fremont,2023-02,151.5,4.5,9336.52,4751.63,2400.22,1925.16,16298.002661690247
REC000041,Battery,Berlin,2023-09,160.4,2.9,12418.91,4717.51,2411.33,2903.09,21687.75296331789
REC000042,Body,Shanghai,2024-08,170,7.1,9602.03,2059.41,4227.1,1558.75,17862.80019180724
REC000043,Assembly,Shanghai,2024-09,151.2,4.1,15407.41,6251.06,3943.23,2010.79,29309.542548053585
REC000044,Body,Berlin,2023-06,170.5,1.6,9250.63,5062.49,2457.23,1973.84,19203.303930306953
REC000045,Assembly,Berlin,2023-12,140.8,6.2,10693.23,4490,4019.39,1967.86,21381.094190867076
REC000046,Battery,Fremont,2023-09,154.3,4.6,13634.87,4802.98,3123.86,2241.36,22829.766563574583
REC000047,Chassis,Shanghai,2023-07,158,4.5,13513.88,4336.03,1796.88,1986.64,18458.640176692657
REC000048,Paint,Shanghai,2023-12,150.7,6.5,8565.05,1939.74,2701.76,1580.82,15466.269385697446
REC000049,Battery,Fremont,2023-05,154.5,6.7,10198.73,4343.11,2356.05,2308.5,19511.889696756723
REC000050,Paint,Shanghai,2024-04,174,3.5,11076.04,4988.9,3590.85,1920.65,23077.669878803696
REC000051,Logistics,Austin,2023-05,172.4,5.2,11495.47,3782.65,2008.06,2872.22,23607.004720493933
REC000052,Chassis,Austin,2023-12,167.2,1.9,12591.2,5076.97,2621.42,1902.55,22049.693069007782
REC000053,Chassis,Austin,2024-12,170.4,4.5,14264.34,6272.31,3355.09,2425.75,23604.829530136747
REC000054,Battery,Shanghai,2024-08,153.8,3.2,11578.12,4106.87,2821.26,1845.43,20731.89397277414
REC000055,Chassis,Austin,2023-09,147.8,4.6,12280.59,2841.49,3759.11,671.81,21393.364532390264
REC000056,Assembly,Austin,2024-11,151.9,4.2,9644.51,5074.85,3200.48,2418.45,19726.01549748583
REC000057,Chassis,Fremont,2023-07,153.4,4.6,16504.23,5639.77,1846.79,3221.73,26518.25172302544
REC000058,Paint,Fremont,2024-07,153.9,1.7,13235.26,7575.09,3469.68,2108.4,29333.93290039887
REC000059,Paint,Berlin,2024-08,165.3,2.4,11144.89,4271.83,4335.01,2440.92,26557.299306180113
REC000060,Paint,Berlin,2024-11,163.2,4.6,15687.68,5051.17,3028.26,2120.34,25144.824953147196
REC000061,Paint,Berlin,2023-11,158.2,8,13111.38,6821.09,3310.68,1997.92,23085.00641876016
REC000062,Assembly,Berlin,2024-09,158.9,6.5,12659.84,3710.81,1973.16,3053.91,21127.54111398808
REC000063,Body,Fremont,2023-12,170.9,5.9,12014.35,5834.4,2239.81,2532.77,24539.49969393199
REC000064,Logistics,Fremont,2023-03,147.1,3.8,15048,5784.78,4687.85,1827.88,30897.56894487754
REC000065,Battery,Fremont,2024-05,167.9,3.1,16839.35,5927.06,4233.18,1410.73,30008.188389654595
REC000066,Paint,Austin,2023-07,138.9,6.2,14997.26,4120.85,3152.08,3307.74,24146.286265858365
REC000067,Chassis,Austin,2024-10,154.3,2.7,12097.38,3620.86,3073.15,2134.18,19727.705542548854
REC000068,Paint,Berlin,2023-10,175.1,8.3,16018.29,4616.97,3609.84,2641.01,28812.21286568424
REC000069,Chassis,Austin,2024-11,163,4.9,11217.99,4981.02,1963.95,1226.75,18765.74857572146
REC000070,Logistics,Shanghai,2024-03,155.3,9,9353.94,2991.36,4184.74,452.38,16337.191672625457
REC000071,Logistics,Fremont,2023-02,169.2,8.4,14429.59,5780.08,3755.47,1357.71,20218.478268143714
REC000072,Logistics,Berlin,2024-01,166,5.8,16321.52,6259.58,2677.23,2442.91,27491.23852306222
REC000073,Chassis,Berlin,2023-04,165.5,5.8,11999.1,3126.04,2921.57,1589.53,20126.245389087435
REC000074,Paint,Shanghai,2024-06,158,3.7,16945.09,6348.36,2893.13,1206.79,32969.975827243274
REC000075,Logistics,Austin,2024-12,169.6,7.6,7648.71,3249.58,2540.93,2013.13,13738.453243583408
REC000076,Assembly,Berlin,2024-11,153.6,4.2,11722.93,3906.77,2739.59,1963.45,21715.39015278605
